	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	e_pred	c_pred
262	Garlic is being chopped by a woman	exists x. exists y. (Garlic(x) & Woman(y) & Chopping(y, x))			A woman is chopping garlic	exists x. (Woman(x) & ChoppingGarlic(x))	e		
263	A woman is slicing a fish	exists x. exists y. (Woman(x) & Fish(y) & Slicing(x, y))			There is no woman slicing a fish	not exists x. (Woman(x) & Slicing(x, fish))	c		
264	A woman is riding a horse	exists x. exists y. (Woman(x) & Horse(y) & Riding(x, y))			A horse is being ridden by a woman	exists x.exists y. (Horse(x) & Woman(y) & Riding(y, x))	e		
265	A big cat is opening a plastic drawer with its paws and is jumping inside	all x.all y.all z. (BigCat(x) & PlasticDrawer(y) & Paws(x) & JumpingInside(z) -> OpensWithPawsAndJumps(x, y, z))			A cat is opening a drawer and jumping inside	all x.all y.all z. (Cat(x) & Drawer(y) & JumpingInside(z) -> (Opening(x, y) & JumpingInside(x, z)))	e		
266	The man is talking on the telephone	exists x. (Man(x) & TalkingOnTelephone(x))			The man is speaking on the telephone	exists x. (Man(x) & SpeakingOnTelephone(x))	e		
267	A man is cutting onions	exists x. (Man(x) & CuttingOnions(x))			A woman is cutting an onion	exists x. (Woman(x) & CuttingOnion(x))	n		
268	A man is opening a door	exists x. (Man(x) & OpeningDoor(x))			There is no man opening a door	not exists x. (Man(x) & OpeningDoor(x))	c		
269	A door is being opened by a man	exists x. exists y. (Door(x) & Man(y) & Opening(y, x))			A man is cutting an onion	exists x. exists y. (Man(x) & Onion(y) & Cutting(x, y))	n		
270	A woman is playing the violin	exists x. (Woman(x) & PlayingViolin(x))			There is no man playing the piano	not exists x. (Man(x) & PlaysPiano(x))	n		
271	A chef is preparing some food	exists x. exists y. (Chef(x) & Food(y) & Preparing(x, y))			A chef is preparing a meal	exists x. exists y. (Chef(x) & Meal(y) & Preparing(x, y))	e		
272	Two sumo ringers are fighting	exists x. exists y. (SumoRinger(x) & SumoRinger(y) & Fighting(x, y))			Two sumo wrestlers are fighting	exists x. exists y. (SumoWrestler(x) & SumoWrestler(y) & Fighting(x, y))	e		
273	Two sumo ringers are fighting	exists x. exists y. (SumoRinger(x) & SumoRinger(y) & Fighting(x, y))			A man is riding a water toy in the water	exists x. exists y. (Man(x) & WaterToy(y) & RidingInWater(x, y))	n		
274	A man is buttering a piece of bread	exists x. exists y. (Man(x) & Bread(y) & Buttering(x, y))			A woman is buttering a piece of bread	exists x. exists y. (Woman(x) & Bread(y) & Buttering(x, y))	n		
275	The woman is putting pasta into a dish	all x.all y. (Woman(x) & Pasta(y) -> PuttingIntoDish(x, y))			Pasta is being put into a dish by a woman	all x.all y.all z. (Pasta(x) & Dish(y) & Woman(z) -> PuttingInto(z, x, y))	e		
276	A woman is pulling some sticky goo out of a bowl	exists x. exists y. exists z. (Woman(x) & StickyGoo(y) & Bowl(z) & PullingOutOf(x, y, z))			The woman is not putting pasta into a dish	not exists x. (Woman(x) & PutsPastaIntoDish(x))	n		
277	There is no girl playing a flute	not exists x. (Girl(x) & PlaysFlute(x))			A girl is playing a flute	exists x. (Girl(x) & PlayingFlute(x))	c		
278	A large flute is being played by a man	exists x. exists y. (LargeFlute(x) & Man(y) & Playing(y, x))			A man is playing a flute	exists x. (Man(x) & PlayingFlute(x))	e		
279	A man is playing a large flute	exists x. (Man(x) & Playing(x, LargeFlute))			There is no man playing a flute	not exists x. (Man(x) & PlaysFlute(x))	c		
280	An octopus is being sliced by a woman	exists x.exists y. (Octopus(x) & Woman(y) & Slicing(y, x))			A woman is slicing an octopus	exists x. (Woman(x) & SlicingOctopus(x))	e		
281	A man is playing a flute	exists x. (Man(x) & PlayingFlute(x))			A man is not playing a flute	all x. (Man(x) -> not PlayingFlute(x))	c		
282	A woman is playing the flute	exists x. (Woman(x) & PlayingFlute(x))			A man is playing a flute	exists x. (Man(x) & PlayingFlute(x))	n		
283	A woman is cutting a lemon	exists x. exists y. (Woman(x) & Lemon(y) & Cutting(x, y))			A woman is cutting fruit	exists x. (Woman(x) & CuttingFruit(x))	e		
284	A group of people are dancing in a show	exists x. exists y. (Group(x) & People(y) & DancingIn(y, x))			A group of people are marching	exists x. (Group(x) & People(x) & Marching(x))	n		
285	A cupcake is being eaten by a girl	exists x.exists y. (Cupcake(x) & Girl(y) & Eating(y, x))			A girl is eating a cupcake	exists x. exists y. (Girl(x) & Cupcake(y) & Eating(x, y))	e		
286	A person is eating in a restaurant	exists x. exists y. (Person(x) & Restaurant(y) & EatingIn(x, y))			A person is making a bed	exists x. (Person(x) & MakingBed(x))	n		
287	The cook is sprinkling cheese on the pizza	all x.all y. (Cook(x) & Pizza(y) -> SprinklesCheese(x, y))			The man is sprinkling cheese on the pizza	exists x. exists y. exists z. (Man(x) & Cheese(y) & Pizza(z) & SprinklesOn(x, y, z))	n		
288	A man is reloading a shotgun	exists x. (Man(x) & ReloadingShotgun(x))			A man is firing a shotgun	exists x. (Man(x) & FiringShotgun(x))	n		
289	A tiger cub is playing with a ball	all x.all y. (TigerCub(x) & Ball(y) -> PlaysWith(x, y))			A baby is playing with a doll	all x.all y. (Baby(x) & Doll(y) -> PlayingWith(x, y))	n		
290	A baby is playing with a toy	all x.all y. (Baby(x) & Toy(y) -> PlayingWith(x, y))			A baby tiger is playing with a ball	all x.all y. (BabyTiger(x) & Ball(y) -> PlayingWith(x, y))	n		
291	A person is peeling a potato	exists x. (Person(x) & PeelingPotato(x))			A potato is being peeled by a person	exists x. exists y. (Potato(x) & Person(y) & Peeling(y, x))	e		
292	A man is rowing a canoe	exists x. exists y. (Man(x) & Canoe(y) & Rowing(x, y))			A man is rowing a boat	exists x. exists y. (Man(x) & Boat(y) & Rowing(x, y))	e		
293	A man and a woman are driving down the street in a jeep	exists x. exists y. (Man(x) & Woman(y) & Jeep(z) & Driving(x, z) & Driving(y, z))			A man and a woman are driving down the road in an open-air vehicle	exists x. exists y. (Man(x) & Woman(y) & Driving(x, y) & OpenAirVehicle(x, y))	n		
294	A woman is pouring ingredients into a bowl	exists x. exists y. exists z. (Woman(x) & Bowl(y) & Ingredients(z) & PouringInto(x, y, z))			The chef is seasoning the oil	Seasoning(Chef, Oil)	n		
295	A horse is being ridden by a person	exists x.exists y. (Horse(x) & Person(y) & Riding(y, x))			A person is riding a horse	exists x. exists y. (Person(x) & Horse(y) & Riding(x, y))	e		
296	A horse is being ridden by a person	exists x.exists y. (Horse(x) & Person(y) & Riding(y, x))			A woman is slicing potatoes	exists x. (Woman(x) & SlicingPotatoes(x))	n		
297	The man is not doing exercises	not exists x. (Man(x) & DoingExercises(x))			The man is doing exercises	exists x. (Man(x) & DoingExercises(x))	c		
298	The man is not doing exercises	not exists x. (Man(x) & DoingExercises(x))			Two men are fighting	exists x. exists y. (Man(x) & Man(y) & Fighting(x, y))	n		
299	Vegetables are being put into a pot by a man	all x.all y.all z. (Vegetable(x) & Pot(y) & Man(z) -> PutInto(x, y, z))			Someone is pouring ingredients into a pot	exists x. (PouringIntoPot(x))	e		
300	A dog is leaving a ball in the dirt	exists x. exists y. exists z. (Dog(x) & Ball(y) & Dirt(z) & Leaving(x, y, z))			A dog is chasing a ball through dirt	exists x. exists y. exists z. (Dog(x) & Ball(y) & Dirt(z) & Chasing(x, y, z))	n		
301	There is no brown dog standing in the water	not exists x. (Dog(x) & Brown(x) & StandingInWater(x))			A dog with golden fur is in the water	all x. (Dog(x) & GoldenFur(x) -> InWater(x))	n		
302	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	all x. (YoungGirl(x) & WearingBlueShirt(x) -> (WalkingOnSidewalk(x) & HoldingPinkSign(x)))			A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	all x. (YoungGirl(x) & PinkSign(x) -> (HoldingBlueShirt(x) & WalkingOnSidewalk(x)))	n		
303	The small child is walking through the water and is being guided by another person	all x.all y. (SmallChild(x) & Person(y) & WalkingThroughWater(x) & GuidedBy(x, y) -> ChildGuide(x, y))			A young child is splashing in the water	exists x. (YoungChild(x) & SplashingInWater(x))	n		
304	A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background	all x.all y.all z. (Man(x) & Woman(y) & Room(z) & PaintedBeige(z) & WearingDarkShirts(x) & WearingDarkShirts(y) & MonitorInBackground(z) -> InRoom(x, y, z))			A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	all x. all y. all z. (Man(x) & Woman(y) & BeigeRoom(z) -> (InRoom(x, y, z) & WearingDarkShirt(x) & MonitorInBackground(z)))	e		
305	A person wearing jeans is sitting happily on the top of a horse saddle	all x. (Person(x) & WearingJeans(x) -> SittingHappilyOnTopOfHorseSaddle(x))			A woman in jeans is sitting on the saddle of a horse	all x.all y. (Woman(x) & Jeans(x) & Horse(y) -> SitsOnSaddle(x, y))	n		
306	A brown and white dog is holding a baseball in its mouth	all x. (Dog(x) & Brown(x) & White(x) -> exists y. (Baseball(y) & HoldsInMouth(x, y)))			A black and white dog is dropping a baseball from its mouth	all x. (Dog(x) & Black(x) & White(x) -> DropsBaseballFromMouth(x))	n		
307	A young boy wearing a red swimsuit is jumping into a blue kiddies pool	all x.all y.all z. (YoungBoy(x) & RedSwimsuit(x) & BlueKiddiesPool(y) & JumpingInto(x, y) -> Pool(z) & KiddiesPool(z))			A boy wearing red shorts is jumping into a paddling pool	all x.all y.all z. (Boy(x) & RedShorts(x) & PaddlingPool(y) & Wearing(x, y) -> JumpingInto(x, z))	n		
308	Two people are standing in the ocean and watching the sunset	exists x. exists y. (Person(x) & Person(y) & StandingInOcean(x) & StandingInOcean(y) & WatchingSunset(x) & WatchingSunset(y))			Nobody is standing in the ocean and watching the sunset	not exists x. (Person(x) & StandingInOcean(x) & WatchingSunset(x))	c		
309	A race car driver is standing up and pointing his hand at the sky	all x. (RaceCarDriver(x) -> (StandingUp(x) & PointingHandAtSky(x)))			A race car driver is sitting down and is motionless	all x. (RaceCarDriver(x) -> (SittingDown(x) & Motionless(x)))	n		
310	A race car driver is standing up and is fiercely pointing his hand at the sky	all x. (RaceCarDriver(x) -> (StandingUp(x) & FiercelyPointsHandAtSky(x)))			The person in the blue jacket is wearing a colorful helmet	all x. (Person(x) & WearingBlueJacket(x) -> WearingColorfulHelmet(x))	n		
311	A bicyclist is holding a bike over his head in a group of people	all x.all y.all z. (Bicyclist(x) & Bike(y) & GroupOfPeople(z) -> HoldsOverHead(x, y, z))			A cyclist is being held over the heads of a group of people with the bike	all x.all y.all z. (Cyclist(x) & GroupOfPeople(y) & Bike(z) -> HeldOverHeads(x, y, z))	n		
312	A man is sitting on a boat in font of the sunset, near a flag	exists x. exists y. exists z. (Man(x) & Boat(y) & Flag(z) & SittingOn(x, y) & InFrontOfSunset(x, y) & Near(x, z))			A man is standing on a boat in front of the sunset near a flag	exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & StandingOn(x, y) & Near(x, z) & Flag(x))	n		
313	A man is standing on a boat in front of the sunset near a flag	exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & StandingOn(x, y) & Near(x, z) & Flag(x))			A man is on a boat in front of the sunset	exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & On(x, y) & InFrontOf(x, z))	e		
314	People at a drag race are running away from the flames that are coming out of the cars	all x.all y.all z. (DragRace(x) & Person(y) & Car(z) -> (RunsAwayFromFlames(y, z)))			The crowd is watching two racing cars that are leaving the starting line	all x.all y.all z. (Crowd(x) & RacingCar(y) & RacingCar(z) & LeavingStartingLine(y, z) -> Watching(x, y, z))	n		
315	Two dogs are playing together on the grass	exists x. exists y. (Dog(x) & Dog(y) & PlayingTogether(x, y) & OnGrass(x, y))			Two dogs are resting together in the grass	exists x. exists y. (Dog(x) & Dog(y) & RestingTogether(x, y) & InGrass(x, y))	n		
316	A dog, which is black, is running in the grass	all x. (Dog(x) & Black(x) -> RunningInGrass(x))			A black dog is running in the grass	exists x. (Dog(x) & Black(x) & RunningInGrass(x))	e		
317	A black dog is running in the grass and its tongue is hanging out	all x. (BlackDog(x) -> (RunningInGrass(x) & TongueHangingOut(x)))			A black dog is running in the grass	exists x. (Dog(x) & Black(x) & RunningInGrass(x))	e		
318	A yellow dog is running on white snow on a very sunny day	all x.all y.all z. (YellowDog(x) & WhiteSnow(y) & VerySunnyDay(z) -> RunningOn(x, y, z))			A yellow dog is running on white snow on a sunny day	all x.all y.all z. (YellowDog(x) & WhiteSnow(y) & SunnyDay(z) -> RunningOn(x, y, z))	e		
319	A girl is wearing jeans and a pink shirt and is running	exists x. (Girl(x) & WearingJeans(x) & WearingPinkShirt(x) & Running(x))			A little boy in a pink shirt is running under a tree in the desert	exists x. exists y. exists z. (LittleBoy(x) & PinkShirt(x) & Tree(y) & Desert(z) & RunsUnder(x, y, z))	n		
320	A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	all x.all y. (WhiteDog(x) & ChristmasReindeerHeadband(x) & BrownDog(y) & PlayingInGrass(x, y) -> DogWearingHeadbandAndPlaying(x, y))			The white reindeer wearing dog ears is near a brown reindeer	all x.all y. (WhiteReindeer(x) & WearingDogEars(x) & BrownReindeer(y) -> Near(x, y))	n		
321	The woman in a red costume is leaning against a brick wall and playing an instrument	all x. (Woman(x) & RedCostume(x) -> (LeaningAgainstBrickWall(x) & PlayingInstrument(x)))			The woman in a red costume is not leaning against a brick wall and is not playing an instrument	all x. (Woman(x) & RedCostume(x) -> not LeaningAgainstBrickWall(x) & not PlayingInstrument(x))	c		
322	A waterfall is flowing into a shallow pool	all x.all y. (Waterfall(x) & ShallowPool(y) -> FlowsInto(x, y))			The people are walking on the road beside a beautiful waterfall	all x.all y. (Person(x) & Road(y) & WalkingOn(x, y) & BeautifulWaterfall(y) -> WalkingByWaterfall(x, y))	n		
323	A dog is scattering a pack of white sheep on a dusty farm	exists x.exists y.exists z. (Dog(x) & WhiteSheep(y) & DustyFarm(z) & Scattering(x, y, z))			A dog is herding a pack of white sheep on a dusty farm	exists x. exists y. exists z. (Dog(x) & PackOfWhiteSheep(y) & DustyFarm(z) & Herding(x, y, z))	n		
324	A little boy is wearing a yellow tank top and is laughing	exists x. (LittleBoy(x) & WearingYellowTankTop(x) & Laughing(x))			A laughing boy is in a yellow tank and is wearing a top	all x. (LaughingBoy(x) -> (exists y. (YellowTank(y) & In(x, y)) & exists z. (Top(z) & Wearing(x, z))))	n		
325	The person is not standing on white ice	not exists x. (Person(x) & StandingOnWhiteIce(x))			A person is standing in a vast field of glacial ice	exists x. (Person(x) & StandingIn(x, VastFieldOfGlacialIce))	n		
326	The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal	all x. (IceHockeyGoalkeeper(x) -> (WearsYellowJersey(x) & DefendsGoal(x)))			There is no hockey player in a yellow jersey guarding the goal	not exists x. (HockeyPlayer(x) & YellowJersey(x) & GoalGuard(x))	c		
327	A woman is wearing a blue helmet and is riding a bicycle in a parking lot	exists x. (Woman(x) & exists y. (BlueHelmet(y) & Wearing(x, y)) & exists z. (Bicycle(z) & Riding(x, z) & In(x, parkingLot)))			A woman is parking a blue bicycle and is wearing lots of riding helmets	exists x. (Woman(x) & ParkingBlueBicycle(x) & WearingRidingHelmets(x))	n		
328	A young girl is standing on one leg	exists x. (YoungGirl(x) & StandingOnOneLeg(x))			A young female is dancing	exists x. (YoungFemale(x) & Dancing(x))	n		
329	A young girl is standing on one leg	exists x. (YoungGirl(x) & StandingOnOneLeg(x))			A young girl is dancing	exists x. (YoungGirl(x) & Dancing(x))	n		
330	A bee is clinging to a yellow flower	exists x. exists y. (Bee(x) & YellowFlower(y) & ClingingTo(x, y))			There is no small bee landing on a bunch of yellow flowers	exists x. exists y. (Bee(x) & YellowFlowers(y) & not Small(x) & LandsOn(x, y))	n		
331	There is no white dog with beige spots running through a field	not exists x. (Dog(x) & White(x) & HasBeigeSpots(x) & RunsThroughField(x))			A tan dog is running through the brush	all x. (TanDog(x) -> exists y. (Brush(y) & RunningThrough(x, y)))	n		
332	A hurdle is being leapt by a horse that has a rider on its back	all x.all y.all z. (Hurdle(x) & Horse(y) & Rider(z) & HasRiderOnBack(y, z) -> Leaps(y, x))			A horse and its rider are leaping over a barrier	all x.all y.all z. (Horse(x) & Rider(y) & Barrier(z) -> LeapingOver(x, y, z))	e		
333	Two teenage girls are wearing fancy dresses at an event	exists x. exists y. (TeenageGirl(x) & TeenageGirl(y) & FancyDress(x) & FancyDress(y) & WearingAtEvent(x, y))			Two girls in their teens are wearing fancy dresses at an event	exists x. exists y. (Girl(x) & Girl(y) & Teen(x) & Teen(y) & WearingFancyDress(x) & WearingFancyDress(y) & AtEvent(x) & AtEvent(y))	e		
334	A classroom full of students is looking attentively in the same direction inside a bamboo structure	all x. all y. all z. (Classroom(x) & Students(y) & BambooStructure(z) & FullOf(y, x) & Inside(y, z) -> AttentivelyLookingInDirection(y, z))			A group of students in uniforms is listening attentively at the front of the class	all x. (GroupOfStudentsInUniforms(x) -> ListeningAttentivelyAtFrontOfClass(x))	n		
335	A child, who is small, is outdoors climbing steps outdoors in an area full of grass	all x. (Child(x) & Small(x) -> (ClimbsStepsOutdoors(x) & InAreaFullOfGrass(x)))			A small child is outdoors climbing steps in a grassy area	exists x. (Child(x) & Small(x) & Outdoors(x) & ClimbingSteps(x) & GrassyArea(x))	e		
336	A little child in a pink sweater is climbing a concrete staircase	all x.all y.all z. (LittleChild(x) & PinkSweater(x) & ConcreteStaircase(y) & Climbs(x, y) -> SweaterColor(z) & Color(z, pink))			A small child is outdoors climbing steps in a grassy area	exists x. (Child(x) & Small(x) & Outdoors(x) & ClimbingSteps(x) & GrassyArea(x))	n		
337	A kid in orange is playing outside with a snowball	all x.all y.all z. (Kid(x) & Orange(y) & Snowball(z) -> PlayingOutsideWith(x, y, z))			A snow ball is being made by a child	exists x. exists y. (SnowBall(x) & Child(y) & Making(y, x))	n		
338	The people are not sitting on a bench in front of a restaurant	not exists x. (Person(x) & SittingOnBench(x) & InFrontOfRestaurant(x))			Three people are sitting on a bench under some palm trees	exists x.exists y.exists z. (Person(x) & Person(y) & Person(z) & SittingOnBench(x) & SittingOnBench(y) & SittingOnBench(z) & PalmTrees(x) & PalmTrees(y) & PalmTrees(z))	n		
339	A large brown dog and a small grey dog are standing on a rocky surface	exists x. exists y. (Dog(x) & Dog(y) & Large(x) & Brown(x) & Small(y) & Grey(y) & StandingOn(x, y, RockySurface))			A big brown dog and a small grey dog are standing on a rocky surface	exists x. exists y. (BigBrownDog(x) & SmallGreyDog(y) & StandingOnRockySurface(x, y))	e		
340	Three boys are resting on rocks along a river	exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & RestingOnRocks(x) & RestingOnRocks(y) & RestingOnRocks(z) & River(x) & River(y) & River(z))			Three boys are walking on rocks along a river	exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & WalkingOnRocks(x) & WalkingOnRocks(y) & WalkingOnRocks(z) & River(x) & River(y) & River(z))	n		
341	There is no man dressed in black wearing an elaborate black mask	not exists x. (Man(x) & DressedInBlack(x) & WearingElaborateBlackMask(x))			A man dressed in black is wearing an elaborate black mask	all x. (Man(x) & DressedInBlack(x) -> WearingElaborateBlackMask(x))	c		
342	Two children, who are small, are playing with a toy car in the street	exists x. exists y. (Child(x) & Child(y) & Small(x) & Small(y) & PlayingWith(x, y, ToyCar) & InStreet(x, y))			A father is pushing his daughter on a go-kart and another girl is watching	all x.all y.all z. (Father(x) & Daughter(y) & GoKart(z) -> Pushing(x, y, z)) & (Girl(w) & Watching(w, z))	n		
343	A golden dog is running through a field of tall grass	all x. all y. (GoldenDog(x) & Field(y) & TallGrass(y) -> RunsThrough(x, y))			There is no brown dog running through tall green grass	not exists x. (Dog(x) & Brown(x) & exists y. (Grass(y) & Tall(y) & Green(y) & RunningThrough(x, y)))	n		
344	The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion	all x. (Woman(x) & WearsBlueAndWhiteUniform(x) & WearsWhiteAndBlueHat(x) -> (KeepingMouthOpen(x) & NearOthersInSameFashion(x)))			A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching	exists x. (Woman(x) & exists y. (BlueShirt(y) & Wearing(x, y)) & exists z. (WhiteVest(z) & Wearing(x, z)) & exists w. (WhiteCap(w) & Wearing(x, w)) & Talking(x) & Marching(x))	n		
345	The snowboarder is doing a flip over a mound of snow	all x.all y. (Snowboarder(x) & MoundOfSnow(y) -> DoesFlipOver(x, y))			Somebody is jumping in the air on a board	exists x. (Jumping(x) & OnBoard(x))	e		
346	A blonde boy in green is sitting on a swing	all x.all y.all z. (Blonde(x) & Boy(x) & Green(y) & Swing(z) -> SittingOn(x, y, z))			There is no little girl with blond hair smiling and sitting on a swing	not exists x. (LittleGirl(x) & BlondHair(x) & Smiling(x) & SittingOnSwing(x))	n		
347	A white man is staging a hat and a playing guitar	exists x. (WhiteMan(x) & StagingHat(x) & StagingGuitar(x))			A man in a white hat is playing guitar on stage	all x. (Man(x) & WearsWhiteHat(x) -> PlaysGuitarOnStage(x))	n		
348	There is no man in a red uniform making a jump in a dirt bike race	not exists x. (Man(x) & RedUniform(x) & MakingJump(x) & InDirtBikeRace(x))			A man in a red uniform is making a jump in a dirt bike race	all x.all y. (Man(x) & RedUniform(x) & DirtBikeRace(y) -> MakingJump(x, y))	c		
349	Rugby players are not tackling each other	all x. all y. (RugbyPlayer(x) & RugbyPlayer(y) -> not Tackling(x, y))			A soccer player is being tackled by his opponent	all x.all y. (SoccerPlayer(x) & Opponent(y) -> BeingTackled(x, y))	n		
350	A white dog is standing on fallen leaves	all x. (WhiteDog(x) -> exists y. (FallenLeaves(y) & StandingOn(x, y)))			A white dog is lying on fallen leaves	exists x. (WhiteDog(x) & LyingOnFallenLeaves(x))	n		
351	A child in clothing which is light colored is standing with his arms extended outward	all x.all y. (Child(x) & Clothing(y) & LightColored(y) -> StandingWithArmsExtended(x, y))			A child in light colored clothing is standing with his arms extended outward	all x. (Child(x) & LightColoredClothing(x) -> StandingWithArmsExtended(x))	e		
352	The boy and girl are not playing on a playground	not (Boy(b) & Girl(g) & Playground(p) & PlayingOn(b, p) & PlayingOn(g, p))			The boy and girl are playing on the outdoor gym	all x.all y.all z. (Boy(x) & Girl(y) & OutdoorGym(z) -> PlayingOn(x, y, z))	n		
353	The motocross rider is standing naked	all x. (MotocrossRider(x) -> StandingNaked(x))			A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	all x. (Biker(x) & BlueJacket(x) & BlackPants(x) & WhiteHelmet(x) -> (DrivingOnDirt(x) & PeopleWatching(x)))	n		
354	The rider on the blue and black motocross bike is not wearing the pants	all x. (Rider(x) & OnBlueAndBlackMotocrossBike(x) -> not WearingPants(x))			A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	all x. (Biker(x) & BlueJacket(x) & BlackPants(x) & WhiteHelmet(x) -> (DrivingOnDirt(x) & PeopleWatching(x)))	n		
355	A trick is being performed by a rollerblader on a ramp	all x.all y.all z. (Trick(x) & Rollerblader(y) & Ramp(z) -> PerformedOn(x, y, z))			A rollerblader is performing a trick on a ramp	all x.all y.all z. (Rollerblader(x) & Trick(y) & Ramp(z) -> PerformsOn(x, y, z))	e		
356	A group of football players is standing still in the field	all x. (GroupOfFootballPlayers(x) -> StandingStillInField(x))			The crowd is watching a football game	all x. all y. (Crowd(x) & FootballGame(y) -> Watching(x, y))	n		
357	The group of people is standing together and looking at the camera	all x. (Group(x) -> (StandingTogether(x) & LookingAtCamera(x)))			A group of people is standing together and looking at the camera	all x. (GroupOfPeople(x) -> (StandingTogether(x) & LookingAtCamera(x)))	e		
358	A brown dog is running across the yard with a toy in its mouth	all x.all y.all z. (BrownDog(x) & Yard(y) & Toy(z) & RunningAcross(x, y) & HasInMouth(x, z) -> DogWithToy(x, y, z))			There is no brown dog running across the yard with a toy in its mouth	not exists x. (Dog(x) & Brown(x) & Running(x) & AcrossYard(x) & HasToy(x))	c		
359	There is no young boy jumping in the air with his knees bent and arms spread	not exists x. (YoungBoy(x) & JumpingInAir(x) & KneesBent(x) & ArmsSpread(x))			A person with a green shirt is jumping high over the grass	all x. (Person(x) & WearsGreenShirt(x) -> JumpsHighOverGrass(x))	n		
360	A cigarette is being smoked by the man in the straw hat	exists x.exists y. (Cigarette(x) & Man(y) & Smoking(y, x) & WearingStrawHat(y))			A man is wearing a straw hat and smoking a cigarette	exists x. (Man(x) & WearingStrawHat(x) & SmokingCigarette(x))	e		
361	A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street	exists x. (Man(x) & WearingBlueShirt(x) & HasLongSleeves(x) & WearingJeans(x) & RidingUnicycle(x) & DownStreet(x))			A man is wearing a blue checkered shirt and riding a unicycle in the street	exists x. (Man(x) & WearingBlueCheckeredShirt(x) & RidingUnicycleInStreet(x))	n		
362	Small children are climbing a statue in a park	all x.all y.all z. (SmallChild(x) & Statue(y) & Park(z) -> Climbing(x, y, z))			Two children are playing on a statue	exists x. exists y. (Child(x) & Child(y) & PlayingOn(x, Statue) & PlayingOn(y, Statue))	n		
363	A tower is being looked at by a blonde lady	exists x.exists y. (Tower(x) & BlondeLady(y) & LookingAt(y, x))			A woman is looking at the view of a city	exists x. exists y. (Woman(x) & City(y) & View(x, y))	n		
364	A man is standing on the top of the rocks with clouds behind them	exists x. (Man(x) & StandingOnRocks(x) & CloudsBehind(x))			Somebody is standing on a mountain top	exists x. (StandingOnMountainTop(x))	n		
365	A child is smiling at the camera and swimming underwater	exists x. (Child(x) & SmilingAtCamera(x) & SwimmingUnderwater(x))			A child is swimming underwater in a pool	exists x. exists y. (Child(x) & Pool(y) & SwimmingUnderwater(x, y))	n		
366	An American footballer is wearing the red and white strip	all x. (AmericanFootballer(x) -> WearsRedAndWhiteStrip(x))			A football player is wearing black armbands	all x. (FootballPlayer(x) -> WearingBlackArmband(x))	n		
367	The little girl is swinging and the woman is standing behind her	exists x.exists y. (LittleGirl(x) & Woman(y) & Swinging(x) & StandingBehind(y, x))			The girl, who is little, is swinging and the woman is standing behind	all x.all y. (Girl(x) & Little(x) & Woman(y) -> (Swinging(x) & StandingBehind(y)))	e		
368	A small child is showing excitement on a swing set at the park	exists x. (SmallChild(x) & Excitement(x) & OnSwingSet(x) & AtPark(x))			The girl, who is little, is swinging and the woman is standing behind	all x.all y. (Girl(x) & Little(x) & Woman(y) -> (Swinging(x) & StandingBehind(y)))	n		
369	A surfer is riding the wave	all x.all y. (Surfer(x) & Wave(y) -> Riding(x, y))			A man is falling off a surfboard in the water	exists x. (Man(x) & FallingOffSurfboard(x))	n		
370	The group of people is sitting in a dim room	all x. (Group(x) -> SittingInDimRoom(x))			The group of people is sitting in a room which is dim	all x. all y. (Group(x) & Person(y) & SittingIn(y, x) -> DimRoom(x))	e		
371	A man and two women in a dark room are sitting at a table with candles	exists x. exists y. exists z. (Man(x) & Woman(y) & Woman(z) & DarkRoom(x) & DarkRoom(y) & DarkRoom(z) & Table(x) & Table(y) & Table(z) & SittingAt(x, y, z))			The group of people is sitting in a dim room	all x. (Group(x) -> SittingInDimRoom(x))	e		
372	A man and two women in a darkened room are sitting at a table with candles	exists x. exists y. exists z. (Man(x) & Woman(y) & Woman(z) & DarkenedRoom(x) & DarkenedRoom(y) & DarkenedRoom(z) & SittingAtTableWithCandles(x, y, z))			The group of dim people is sitting in a room	all x. (DimPerson(x) -> SittingInRoom(x))	n		
