	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	exception
128	A group of kids is staring at a colorful structure	exists x.exists y. (Kid(x) & Kid(y) & Group(x, y) & StaringAt(x, y) & ColorfulStructure(y))			A group of kids is playing on a colorful structure	exists x.exists y. (Kid(x) & Kid(y) & Group(x) & Group(y) & PlayingOn(x, y) & ColorfulStructure(y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Group/2, Group/1.


Fatal error:  The following symbols are used with multiple arities: Group/2, Group/1"
129	A large brown dog and a small grey dog are standing on a rocky surface	exists x. exists y. (Dog(x) & Dog(y) & Large(x) & Brown(x) & Small(y) & Grey(y) & StandingOn(x, y, RockySurface))			There is no large brown dog and small grey dog standing on a rocky surface	not (exists x. (Dog(x) & Large(x) & Brown(x) & exists y. (Dog(y) & Small(y) & Grey(y) & StandingOn(y, rockySurface))))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: StandingOn/3, StandingOn/2.


Fatal error:  The following symbols are used with multiple arities: StandingOn/3, StandingOn/2"
130	A man on a bicycle is riding on the beach	all x.all y.all z. (Man(x) & Bicycle(y) & Beach(z) -> RidingOn(x, y, z))			A man on a bike is riding on the shore	all x.all y. (Man(x) & Bike(y) & RidingOn(x, y) -> OnShore(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: RidingOn/3, RidingOn/2.


Fatal error:  The following symbols are used with multiple arities: RidingOn/3, RidingOn/2"
131	The kids are chasing each other in the sand	all x.all y.all z. (Kid(x) & Kid(y) & Sand(z) -> Chasing(x, y, z))			The kids are not chasing each other in the sand	not exists x. exists y. (Kid(x) & Kid(y) & Chasing(x, y) & InSand(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Chasing/3, Chasing/2.


Fatal error:  The following symbols are used with multiple arities: Chasing/3, Chasing/2"
132	A father is pushing his daughter on a go-kart and another girl is watching	all x.all y.all z. (Father(x) & Daughter(y) & GoKart(z) -> Pushing(x, y, z)) & (Girl(w) & Watching(w, z))			A girl is pushing a go-kart and a daughter is watching her father	all x.all y.all z. (Girl(x) & GoKart(y) & Daughter(z) -> (Pushes(x, y) & Watches(z, Father)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Father/1, Father/0.


Fatal error:  The following symbols are used with multiple arities: Father/1, Father/0"
133	The crowd is watching the football at the game	Crowd(c) & Football(f) & Game(g) -> Watching(c, f, g)			The crowd is watching a football game	all x. all y. (Crowd(x) & FootballGame(y) -> Watching(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Watching/3, Watching/2.


Fatal error:  The following symbols are used with multiple arities: Watching/3, Watching/2"
134	A brown dog and a black dog are playing in the sand	exists x. exists y. (Dog(x) & Dog(y) & Brown(x) & Black(y) & PlayingInSand(x, y))			There is no brown dog and black dog playing in the sand	not exists x. (Dog(x) & Brown(x) & exists y. (Dog(y) & Black(y) & PlayingInSand(y)))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PlayingInSand/2, PlayingInSand/1.


Fatal error:  The following symbols are used with multiple arities: PlayingInSand/2, PlayingInSand/1"
135	The black dog is running through the grass	all x. all y. (BlackDog(x) & Grass(y) -> RunsThrough(x, y))			The black dog is not running through the grass	not exists x. (Dog(x) & Black(x) & Running(x) & Through(x, Grass))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Grass/1, Grass/0.


Fatal error:  The following symbols are used with multiple arities: Grass/1, Grass/0"
136	Three men are staring at the big green hills in the distance	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & StaringAt(x, y, z, BigGreenHills) & StaringAt(y, z, BigGreenHills) & StaringAt(z, x, BigGreenHills))			Three men are looking into the distance	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & LookingIntoDistance(x) & LookingIntoDistance(y) & LookingIntoDistance(z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: StaringAt/3, StaringAt/4.


Fatal error:  The following symbols are used with multiple arities: StaringAt/3, StaringAt/4"
137	Two children are playing on a statue	exists x. exists y. (Child(x) & Child(y) & PlayingOn(x, Statue) & PlayingOn(y, Statue))			Some children are playing on a statue	exists x.exists y. (Child(x) & Statue(y) & PlayingOn(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Statue/1, Statue/0.


Fatal error:  The following symbols are used with multiple arities: Statue/1, Statue/0"
138	Small children are getting off a statue in a park	all x.all y.all z. (SmallChild(x) & Statue(y) & Park(z) -> GetsOff(x, y, z))			Two children are playing on a statue	exists x. exists y. (Child(x) & Child(y) & PlayingOn(x, Statue) & PlayingOn(y, Statue))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Statue/1, Statue/0.


Fatal error:  The following symbols are used with multiple arities: Statue/1, Statue/0"
139	Two guys are sitting around a table and holding beers in their hands	exists x. exists y. exists z. (Guy(x) & Guy(y) & Guy(z) & SittingAroundTable(x, y, z) & HoldingBeers(x, y, z))			Two blokes are sitting around a table and holding beers in their hands	exists x. exists y. exists z. (Bloke(x) & Bloke(y) & Bloke(z) & SittingAroundTable(x, y, z) & HoldingBeers(x) & HoldingBeers(y) & HoldingBeers(z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: HoldingBeers/3, HoldingBeers/1.


Fatal error:  The following symbols are used with multiple arities: HoldingBeers/3, HoldingBeers/1"
140	A dog is chasing a ball	exists x.exists y. (Dog(x) & Ball(y) & Chasing(x, y))			There is no dog chasing a ball	not exists x. (Dog(x) & Chasing(x, Ball))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Ball/1, Ball/0.


Fatal error:  The following symbols are used with multiple arities: Ball/1, Ball/0"
141	There are no dogs fighting for a frisbee in a lake	exists x. (Dog(x) & exists y. (Frisbee(y) & FightingFor(x, y) & In(x, Lake)))			Two dogs are fighting for a frisbee in a lake	exists x. exists y. exists z. (Dog(x) & Dog(y) & Frisbee(z) & FightingFor(x, y, z) & InLake(z))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: FightingFor/2, FightingFor/3.


Fatal error:  The following symbols are used with multiple arities: FightingFor/2, FightingFor/3"
142	The bike rider is not looking at the accident of another bike rider	not exists x. (BikeRider(x) & Accident(y) & BikeRider(z) & BikeRider(w) & LookingAt(x, y, z) & LookingAt(x, y, w))			The bike rider is looking at an accident of another bike rider	all x.all y. (BikeRider(x) & BikeRider(y) & Accident(y) -> LookingAt(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: LookingAt/3, LookingAt/2.


Fatal error:  The following symbols are used with multiple arities: LookingAt/3, LookingAt/2"
143	There are no dogs playing in the snow	not exists x. (Dog(x) & PlayingInSnow(x))			A brown dog and a gray dog are playing in the snow	exists x. exists y. (Dog(x) & Dog(y) & Brown(x) & Gray(y) & PlayingInSnow(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PlayingInSnow/1, PlayingInSnow/2.


Fatal error:  The following symbols are used with multiple arities: PlayingInSnow/1, PlayingInSnow/2"
144	A man is standing bare-chested beside a yellow canoe on some rocks with water in the background	exists x. exists y. exists z. (Man(x) & YellowCanoe(y) & Rocks(z) & StandingBeside(x, y) & On(x, z) & WaterInBackground(x))			A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background	exists x. exists y. exists z. (Man(x) & RedJacket(x) & YellowCanoe(y) & Rocks(z) & WaterInBackground(z) & Wearing(x, y) & StandingBeside(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: StandingBeside/2, StandingBeside/3.


Fatal error:  The following symbols are used with multiple arities: StandingBeside/2, StandingBeside/3"
145	A tree is falling over a bridge made over the river which a dog is crossing	all x.all y.all z. (Tree(x) & Bridge(y) & River(z) & MadeOver(y, z) & Crossing(y, z) -> FallsOver(x, y))			A dog is crossing a river on a bridge made from a fallen tree	exists x. exists y. exists z. (Dog(x) & River(y) & Bridge(z) & Crossing(x, y, z) & MadeFromFallenTree(z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Crossing/2, Crossing/3.


Fatal error:  The following symbols are used with multiple arities: Crossing/2, Crossing/3"
146	A man is squirting water into the mouth of a white dog with a squirt gun	exists x. exists y. exists z. (Man(x) & Dog(y) & SquirtGun(z) & SquirtsWaterIntoMouth(x, y, z))			There is no man squirting water into the mouth of a white dog with a squirt gun	not exists x. (Man(x) & SquirtingWater(x) & IntoMouthOf(x, WhiteDog) & With(x, SquirtGun))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: SquirtGun/1, SquirtGun/0.


Fatal error:  The following symbols are used with multiple arities: SquirtGun/1, SquirtGun/0"
147	A great dog is climbing a steep hill	exists x. (Dog(x) & Great(x) & Climbing(x, SteepHill))			A great dog is wildly climbing a steep hill	all x. (Dog(x) & WildlyClimbing(x) & SteepHill(x) -> Great(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: SteepHill/1, SteepHill/0.


Fatal error:  The following symbols are used with multiple arities: SteepHill/1, SteepHill/0"
148	Two white cats are playing with a brown dog and a ball	exists x.exists y.exists z.exists w. (WhiteCat(x) & WhiteCat(y) & BrownDog(z) & Ball(w) & PlayingWith(x, y, z, w))			Two white dogs and one brown dog are chasing a ball	exists x. exists y. exists z. (Dog(x) & Dog(y) & Dog(z) & White(x) & White(y) & Brown(z) & Chasing(x, y, z, Ball))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Ball/1, Ball/0.


Fatal error:  The following symbols are used with multiple arities: Ball/1, Ball/0"
149	Four athletes are with a man in a crowded stadium	exists x. exists y. exists z. exists w. (Athlete(x) & Athlete(y) & Athlete(z) & Athlete(w) & Man(x) & Man(y) & Man(z) & Man(w) & CrowdedStadium(x) & CrowdedStadium(y) & CrowdedStadium(z) & CrowdedStadium(w))			Four athletes are with a woman in a crowded stadium	exists x.exists y.exists z.exists w. (Athlete(x) & Athlete(y) & Athlete(z) & Athlete(w) & Woman(w) & With(x, y, z, w) & CrowdedStadium(x, y, z, w))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: CrowdedStadium/1, CrowdedStadium/4.


Fatal error:  The following symbols are used with multiple arities: CrowdedStadium/1, CrowdedStadium/4"
150	A young boy in the blue shirt is jumping into the water	all x.all y. (YoungBoy(x) & BlueShirt(y) -> JumpingIntoWater(x, y))			The young boy in the blue shirt is jumping into the water	exists x. (YoungBoy(x) & BlueShirt(x) & JumpingIntoWater(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: JumpingIntoWater/2, JumpingIntoWater/1.


Fatal error:  The following symbols are used with multiple arities: JumpingIntoWater/2, JumpingIntoWater/1"
151	A young girl is jumping into a still lake	exists x. exists y. (YoungGirl(x) & Lake(y) & JumpsInto(x, y))			A young boy is jumping into a still lake	exists x. exists y. exists z. (YoungBoy(x) & Lake(y) & Still(z) & JumpsInto(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: JumpsInto/2, JumpsInto/3.


Fatal error:  The following symbols are used with multiple arities: JumpsInto/2, JumpsInto/3"
152	A black and white dog is playing with a tattered volleyball in a brown field	all x. all y. all z. (Dog(x) & Dog(y) & Volleyball(z) & BlackAndWhite(x) & BlackAndWhite(y) & Tattered(z) & BrownField(w) -> PlayingWith(x, y, z, w))			A black and white dog is playing with a broken volleyball	exists x. exists y. exists z. (Dog(x) & Dog(y) & Volleyball(z) & BlackAndWhite(x) & Broken(z) & PlayingWith(x, z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PlayingWith/4, PlayingWith/2.


Fatal error:  The following symbols are used with multiple arities: PlayingWith/4, PlayingWith/2"
153	The little boy is riding a bicycle in a race	exists x.exists y. (LittleBoy(x) & Bicycle(y) & Riding(x, y) & Race(z) & ParticipatingIn(x, z))			A bicycle is being ridden by the little boy in a race	all x.all y. (Bicycle(x) & LittleBoy(y) & Riding(y, x) -> Race(y, x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Race/1, Race/2.


Fatal error:  The following symbols are used with multiple arities: Race/1, Race/2"
154	A blond woman is sitting on the roof of a yellow vehicle and two people are inside	exists x. exists y. exists z. (Blond(x) & Woman(x) & YellowVehicle(y) & Roof(y, x) & exists w. exists u. (Person(w) & Person(u) & Inside(w, y) & Inside(u, y)))			A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside	all x.all y.all z. (Woman(x) & BlondHair(x) & YellowVehicle(y) & Roof(z) & SittingOn(x, z) & TwoPeopleInside(y) -> WomanOnRoof(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Roof/2, Roof/1.


Fatal error:  The following symbols are used with multiple arities: Roof/2, Roof/1"
155	A girl in blue is sliding down a green slide	all x.all y.all z. (Girl(x) & Blue(x) & GreenSlide(y) & Slide(z) -> SlidingDown(x, y, z))			A girl in blue is sliding down a slide	all x.all y. (Girl(x) & Blue(x) & Slide(y) -> SlidingDown(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: SlidingDown/3, SlidingDown/2.


Fatal error:  The following symbols are used with multiple arities: SlidingDown/3, SlidingDown/2"
156	Five people are standing in the grass with three dogs	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & StandingInGrass(z) & StandingInGrass(w) & StandingInGrass(v) & Dog(x) & Dog(y) & Dog(z)			Five people are standing in the grass with some dogs	exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & StandingInGrass(z) & StandingInGrass(w) & StandingInGrass(v) & Dog(x) & Dog(y) & Dog(z) & Dog(	e	"End of input found.  Expression expected.
exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & StandingInGrass(z) & StandingInGrass(w) & StandingInGrass(v) & Dog(x) & Dog(y) & Dog(z) & Dog(
                                                                                                                                                                                                                                                   ^"
157	Five people are standing with three dogs in the green field beside the road	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road			Five people are standing with three dogs in the park beside the road	exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & Park(x) & Park(y) & Park(z) & Park(w) & Park(v) & Road(x) & Road(y)	n	"End of input found.  Expected token ')'.
exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & Park(x) & Park(y) & Park(z) & Park(w) & Park(v) & Road(x) & Road(y)
                                                                                                                                                                                                                           ^"
158	Five people are running with three dogs in the green field beside the road	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Dog(x) & Dog(y) & Dog(z) & GreenField(x) & GreenField(y) & GreenField(z) & Road(x) & Road(y) & Road(z))			Five people are standing with three dogs in the green field beside the road	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road	n	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road
                                                                                                                                                                                                                                                ^"
159	Five people are standing with three dogs in the green field beside the road	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road			Five people are standing in the grass with some dogs	exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & StandingInGrass(z) & StandingInGrass(w) & StandingInGrass(v) & Dog(x) & Dog(y) & Dog(z) & Dog(	e	"End of input found.  Expression expected.
exists x.exists y.exists z.exists w.exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & StandingInGrass(z) & StandingInGrass(w) & StandingInGrass(v) & Dog(x) & Dog(y) & Dog(z) & Dog(
                                                                                                                                                                                                                                                   ^"
160	Five people are standing in the grass with no dogs	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & StandingInGrass(x) & StandingInGrass(y) & not Dog(z) & not Dog(w) & not Dog(v))			Five people are standing with three dogs in the green field beside the road	exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road	c	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Person(x) & Person(y) & Person(z) & Person(w) & Person(v) & Dog(x) & Dog(y) & Dog(z) & Dog(w) & Dog(v) & GreenField(x) & GreenField(y) & GreenField(z) & GreenField(w) & GreenField(v) & Road
                                                                                                                                                                                                                                                ^"
161	An Arabic man is wearing a white hat	exists x. (Man(x) & Arabic(x) & Wearing(x, WhiteHat))			A white hat is being worn by an Arabic man	exists x. exists y. (WhiteHat(x) & Man(y) & Wears(y, x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0.


Fatal error:  The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0"
162	An Arabic man is wearing a white hat	exists x. (Man(x) & Arabic(x) & Wearing(x, WhiteHat))			A man with a white hat and brown shirt is behind a woman in red and is looking to the side	all x.all y. (Man(x) & Woman(y) & WhiteHat(x) & BrownShirt(x) & Red(y) & LookingToSide(x) -> Behind(x, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0.


Fatal error:  The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0"
163	A man with a white hat and brown shirt is behind a woman in red and is looking to the left	all x.all y. (Man(x) & Woman(y) & WhiteHat(x) & BrownShirt(x) & Red(y) & LookingToLeft(x) -> Behind(x, y))			An Arabic man is wearing a white hat	exists x. (Man(x) & Arabic(x) & Wearing(x, WhiteHat))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0.


Fatal error:  The following symbols are used with multiple arities: WhiteHat/1, WhiteHat/0"
164	A cyclist on a yellow bike is airborne	all x.all y. (Cyclist(x) & YellowBike(y) -> Airborne(x))			There is no cyclist on a yellow bike airborne	not exists x. (Cyclist(x) & YellowBike(y) & Airborne(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Airborne/1, Airborne/2.


Fatal error:  The following symbols are used with multiple arities: Airborne/1, Airborne/2"
165	People are sitting against a wall	exists x. exists y. (Person(x) & Wall(y) & SittingAgainst(x, y))			People are sitting near a wall	exists x. exists y. (Person(x) & Person(y) & SittingNear(x, y, Wall))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Wall/1, Wall/0.


Fatal error:  The following symbols are used with multiple arities: Wall/1, Wall/0"
166	Rollerbladers are rolling in formation down a hill	all x. all y. all z. (Rollerblader(x) & Hill(y) & RollingInFormation(x, y) -> Down(x, z) & Hill(z))			Rollerbladers are not rolling in formation down a hill	all x. (Rollerblader(x) -> not RollingInFormation(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: RollingInFormation/2, RollingInFormation/1.


Fatal error:  The following symbols are used with multiple arities: RollingInFormation/2, RollingInFormation/1"
167	People are walking across a rope bridge over a rocky stream	all x. all y. all z. (Person(x) & RopeBridge(y) & RockyStream(z) -> WalkingAcross(x, y, z))			Three people are walking across a rope and wood bridge over a river	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & WalkingAcross(x, ropeBridge) & WalkingAcross(y, woodBridge) & WalkingAcross(z, river))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WalkingAcross/3, WalkingAcross/2.


Fatal error:  The following symbols are used with multiple arities: WalkingAcross/3, WalkingAcross/2"
168	Several people are walking in line across a bridge	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & WalkingInLine(x, y, z, Bridge))			Several people are not walking in line across a bridge	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Bridge(b) & not WalkingInLine(x, y, z, b))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Bridge/1, Bridge/0.


Fatal error:  The following symbols are used with multiple arities: Bridge/1, Bridge/0"
169	Four people are sitting on a bridge over a body of water	exists x. exists y. exists z. exists w. (Person(x) & Person(y) & Person(z) & Person(w) & Bridge(x, y, z, w) & OverWater(x, y, z, w))			Several people are walking in line across a bridge	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & WalkingInLine(x, y, z, Bridge))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Bridge/4, Bridge/0.


Fatal error:  The following symbols are used with multiple arities: Bridge/4, Bridge/0"
170	Three men are sitting on a mountainside and looking at the view with a pair of binoculars	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & SittingOnMountainside(x, y, z) & LookingAtView(x, y, z) & UsingBinoculars(x, y, z))			Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars	exists x.exists y.exists z. (Hiker(x) & Hiker(y) & Hiker(z) & SittingOnMountainside(x) & SittingOnMountainside(y) & SittingOnMountainside(z) & LookingAtViewWithBinoculars(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: SittingOnMountainside/3, SittingOnMountainside/1.


Fatal error:  The following symbols are used with multiple arities: SittingOnMountainside/3, SittingOnMountainside/1"
171	A white dog on a leash is walking in the water	all x.all y. (WhiteDog(x) & Leash(y) & OnLeash(x, y) -> WalkingInWater(x))			The dog is on a leash and is walking out of the water	exists x. (Dog(x) & OnLeash(x) & WalkingOutOfWater(x))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: OnLeash/2, OnLeash/1.


Fatal error:  The following symbols are used with multiple arities: OnLeash/2, OnLeash/1"
172	A black dog on a leash is walking in the water	all x.all y. (BlackDog(x) & Leash(y) & OnLeash(x, y) -> WalkingInWater(x))			The dog is on a leash and is walking in the water	exists x. (Dog(x) & OnLeash(x) & WalkingInWater(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: OnLeash/2, OnLeash/1.


Fatal error:  The following symbols are used with multiple arities: OnLeash/2, OnLeash/1"
173	A red sled is being held by a little girl in a green coat and a boy walking in the snow	all x.all y.all z. (RedSled(x) & LittleGirl(y) & GreenCoat(y) & Boy(z) & WalkingInSnow(z) -> Holds(y, x))			A little girl in a green coat and a boy holding a red sled are walking in the snow	exists x. exists y. (LittleGirl(x) & GreenCoat(x) & Boy(y) & RedSled(y) & WalkingInSnow(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WalkingInSnow/1, WalkingInSnow/2.


Fatal error:  The following symbols are used with multiple arities: WalkingInSnow/1, WalkingInSnow/2"
174	A cyclist is biking in a snowy forest at day	all x.all y.all z. (Cyclist(x) & Biking(x, y) & SnowyForest(y) & Day(z) -> In(x, y, z))			A cyclist is biking in a snowy forest at night	exists x. (Cyclist(x) & Biking(x) & In(x, SnowyForest) & At(x, Night))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: In/3, In/2, Biking/2, Biking/1, SnowyForest/1, SnowyForest/0.


Fatal error:  The following symbols are used with multiple arities: In/3, In/2, Biking/2, Biking/1, SnowyForest/1, SnowyForest/0"
175	A black and brown cat is eyeing a fly	exists x.exists y.exists z. (Cat(x) & Cat(y) & Fly(z) & Black(x) & Brown(y) & Eyeing(x, z))			A black and brown dog is eyeing a fly	exists x. (Dog(x) & Black(x) & Brown(x) & Eyeing(x, Fly))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Fly/1, Fly/0.


Fatal error:  The following symbols are used with multiple arities: Fly/1, Fly/0"
176	There is no dog running with a volleyball	not exists x. (Dog(x) & Running(x) & With(x, Volleyball))			A dog is running with a volleyball	exists x.exists y. (Dog(x) & Volleyball(y) & Running(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Running/1, Running/2, Volleyball/1, Volleyball/0.


Fatal error:  The following symbols are used with multiple arities: Running/1, Running/2, Volleyball/1, Volleyball/0"
177	A brown puppy is gnawing a wooden post that is stuck into the ground	all x.all y.all z. (BrownPuppy(x) & WoodenPost(y) & StuckInGround(z) -> Gnawing(x, y, z))			A brown puppy is gnawing a metallic post that is stuck in the ground	all x.all y. (BrownPuppy(x) & MetallicPost(y) & Gnawing(x, y) -> StuckInGround(y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Gnawing/3, Gnawing/2.


Fatal error:  The following symbols are used with multiple arities: Gnawing/3, Gnawing/2"
178	A woman is showing a small cat to an infant	exists x. exists y. exists z. (Woman(x) & SmallCat(y) & Infant(z) & Shows(x, y, z))			A woman is showing a small dog to an infant	exists x. exists y. exists z. (Woman(x) & SmallDog(y) & Infant(z) & Shows(x, y) & To(x, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Shows/3, Shows/2.


Fatal error:  The following symbols are used with multiple arities: Shows/3, Shows/2"
