,p_nl,h_nl,p_fol,h_fol,label,e_pred,c_pred
257,The man is talking on the telephone,The man is speaking on the telephone,exists x. (Man(x) & TalkingOnTelephone(x)),exists x. (Man(x) & SpeakingOnTelephone(x)),e,False,False
258,A man is cutting onions,A woman is cutting an onion,exists x. (Man(x) & CuttingOnions(x)),exists x. (Woman(x) & CuttingOnion(x)),n,False,False
259,A man is opening a door,There is no man opening a door,exists x. (Man(x) & OpeningDoor(x)),not exists x. (Man(x) & OpeningDoor(x)),c,False,True
260,A door is being opened by a man,A man is cutting an onion,"exists x. exists y. (Door(x) & Man(y) & Opening(y, x))","exists x. exists y. (Man(x) & Onion(y) & Cutting(x, y))",n,False,False
261,A woman is playing the violin,There is no man playing the piano,exists x. (Woman(x) & PlayingViolin(x)),not exists x. (Man(x) & PlaysPiano(x)),n,False,False
262,A chef is preparing some food,A chef is preparing a meal,"exists x. exists y. (Chef(x) & Food(y) & Preparing(x, y))","exists x. exists y. (Chef(x) & Meal(y) & Preparing(x, y))",e,False,False
263,Two sumo ringers are fighting,Two sumo wrestlers are fighting,"exists x. exists y. (SumoRinger(x) & SumoRinger(y) & Fighting(x, y))","exists x. exists y. (SumoWrestler(x) & SumoWrestler(y) & Fighting(x, y))",e,False,False
264,Two sumo ringers are fighting,A man is riding a water toy in the water,"exists x. exists y. (SumoRinger(x) & SumoRinger(y) & Fighting(x, y))","exists x. exists y. (Man(x) & WaterToy(y) & RidingInWater(x, y))",n,False,False
265,A man is buttering a piece of bread,A woman is buttering a piece of bread,"exists x. exists y. (Man(x) & Bread(y) & Buttering(x, y))","exists x. exists y. (Woman(x) & Bread(y) & Buttering(x, y))",n,False,False
266,The woman is putting pasta into a dish,Pasta is being put into a dish by a woman,"all x.all y. (Woman(x) & Pasta(y) -> PuttingIntoDish(x, y))","all x.all y.all z. (Pasta(x) & Dish(y) & Woman(z) -> PuttingInto(z, x, y))",e,False,False
267,A woman is pulling some sticky goo out of a bowl,The woman is not putting pasta into a dish,"exists x. exists y. exists z. (Woman(x) & StickyGoo(y) & Bowl(z) & PullingOutOf(x, y, z))",not exists x. (Woman(x) & PutsPastaIntoDish(x)),n,False,False
268,There is no girl playing a flute,A girl is playing a flute,not exists x. (Girl(x) & PlaysFlute(x)),exists x. (Girl(x) & PlayingFlute(x)),c,False,False
269,A large flute is being played by a man,A man is playing a flute,"exists x. exists y. (LargeFlute(x) & Man(y) & Playing(y, x))",exists x. (Man(x) & PlayingFlute(x)),e,False,False
270,A man is playing a large flute,There is no man playing a flute,"exists x. (Man(x) & Playing(x, LargeFlute))",not exists x. (Man(x) & PlaysFlute(x)),c,False,False
271,An octopus is being sliced by a woman,A woman is slicing an octopus,"exists x.exists y. (Octopus(x) & Woman(y) & Slicing(y, x))",exists x. (Woman(x) & SlicingOctopus(x)),e,False,False
272,A man is playing a flute,A man is not playing a flute,exists x. (Man(x) & PlayingFlute(x)),all x. (Man(x) -> not PlayingFlute(x)),c,False,True
273,A woman is playing the flute,A man is playing a flute,exists x. (Woman(x) & PlayingFlute(x)),exists x. (Man(x) & PlayingFlute(x)),n,False,False
274,A woman is cutting a lemon,A woman is cutting fruit,"exists x. exists y. (Woman(x) & Lemon(y) & Cutting(x, y))",exists x. (Woman(x) & CuttingFruit(x)),e,False,False
275,A group of people are dancing in a show,A group of people are marching,"exists x. exists y. (Group(x) & People(y) & DancingIn(y, x))",exists x. (Group(x) & People(x) & Marching(x)),n,False,False
276,A cupcake is being eaten by a girl,A girl is eating a cupcake,"exists x.exists y. (Cupcake(x) & Girl(y) & Eating(y, x))","exists x. exists y. (Girl(x) & Cupcake(y) & Eating(x, y))",e,True,False
277,A person is eating in a restaurant,A person is making a bed,"exists x. exists y. (Person(x) & Restaurant(y) & EatingIn(x, y))",exists x. (Person(x) & MakingBed(x)),n,False,False
278,The cook is sprinkling cheese on the pizza,The man is sprinkling cheese on the pizza,"all x.all y. (Cook(x) & Pizza(y) -> SprinklesCheese(x, y))","exists x. exists y. exists z. (Man(x) & Cheese(y) & Pizza(z) & SprinklesOn(x, y, z))",n,False,False
279,A man is reloading a shotgun,A man is firing a shotgun,exists x. (Man(x) & ReloadingShotgun(x)),exists x. (Man(x) & FiringShotgun(x)),n,False,False
280,A tiger cub is playing with a ball,A baby is playing with a doll,"all x.all y. (TigerCub(x) & Ball(y) -> PlaysWith(x, y))","all x.all y. (Baby(x) & Doll(y) -> PlayingWith(x, y))",n,False,False
281,A baby is playing with a toy,A baby tiger is playing with a ball,"all x.all y. (Baby(x) & Toy(y) -> PlayingWith(x, y))","all x.all y. (BabyTiger(x) & Ball(y) -> PlayingWith(x, y))",n,False,False
282,A person is peeling a potato,A potato is being peeled by a person,exists x. (Person(x) & PeelingPotato(x)),"exists x. exists y. (Potato(x) & Person(y) & Peeling(y, x))",e,False,False
283,A man is rowing a canoe,A man is rowing a boat,"exists x. exists y. (Man(x) & Canoe(y) & Rowing(x, y))","exists x. exists y. (Man(x) & Boat(y) & Rowing(x, y))",e,False,False
284,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in an open-air vehicle,"exists x. exists y. (Man(x) & Woman(y) & Jeep(z) & Driving(x, z) & Driving(y, z))","exists x. exists y. (Man(x) & Woman(y) & Driving(x, y) & OpenAirVehicle(x, y))",n,False,False
285,A woman is pouring ingredients into a bowl,The chef is seasoning the oil,"exists x. exists y. exists z. (Woman(x) & Bowl(y) & Ingredients(z) & PouringInto(x, y, z))","Seasoning(Chef, Oil)",n,False,False
286,A horse is being ridden by a person,A person is riding a horse,"exists x.exists y. (Horse(x) & Person(y) & Riding(y, x))","exists x. exists y. (Person(x) & Horse(y) & Riding(x, y))",e,True,False
287,A horse is being ridden by a person,A woman is slicing potatoes,"exists x.exists y. (Horse(x) & Person(y) & Riding(y, x))",exists x. (Woman(x) & SlicingPotatoes(x)),n,False,False
288,The man is not doing exercises,The man is doing exercises,not exists x. (Man(x) & DoingExercises(x)),exists x. (Man(x) & DoingExercises(x)),c,False,True
289,The man is not doing exercises,Two men are fighting,not exists x. (Man(x) & DoingExercises(x)),"exists x. exists y. (Man(x) & Man(y) & Fighting(x, y))",n,False,False
290,Vegetables are being put into a pot by a man,Someone is pouring ingredients into a pot,"all x.all y.all z. (Vegetable(x) & Pot(y) & Man(z) -> PutInto(x, y, z))",exists x. (PouringIntoPot(x)),e,False,False
291,A dog is leaving a ball in the dirt,A dog is chasing a ball through dirt,"exists x. exists y. exists z. (Dog(x) & Ball(y) & Dirt(z) & Leaving(x, y, z))","exists x. exists y. exists z. (Dog(x) & Ball(y) & Dirt(z) & Chasing(x, y, z))",n,False,False
292,There is no brown dog standing in the water,A dog with golden fur is in the water,not exists x. (Dog(x) & Brown(x) & StandingInWater(x)),all x. (Dog(x) & GoldenFur(x) -> InWater(x)),n,False,False
293,A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,all x. (YoungGirl(x) & WearingBlueShirt(x) -> (WalkingOnSidewalk(x) & HoldingPinkSign(x))),all x. (YoungGirl(x) & PinkSign(x) -> (HoldingBlueShirt(x) & WalkingOnSidewalk(x))),n,False,False
294,The small child is walking through the water and is being guided by another person,A young child is splashing in the water,"all x.all y. (SmallChild(x) & Person(y) & WalkingThroughWater(x) & GuidedBy(x, y) -> ChildGuide(x, y))",exists x. (YoungChild(x) & SplashingInWater(x)),n,False,False
295,"A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background","A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background","all x.all y.all z. (Man(x) & Woman(y) & Room(z) & PaintedBeige(z) & WearingDarkShirts(x) & WearingDarkShirts(y) & MonitorInBackground(z) -> InRoom(x, y, z))","all x. all y. all z. (Man(x) & Woman(y) & BeigeRoom(z) -> (InRoom(x, y, z) & WearingDarkShirt(x) & MonitorInBackground(z)))",e,False,False
296,A person wearing jeans is sitting happily on the top of a horse saddle,A woman in jeans is sitting on the saddle of a horse,all x. (Person(x) & WearingJeans(x) -> SittingHappilyOnTopOfHorseSaddle(x)),"all x.all y. (Woman(x) & Jeans(x) & Horse(y) -> SitsOnSaddle(x, y))",n,False,False
297,A brown and white dog is holding a baseball in its mouth,A black and white dog is dropping a baseball from its mouth,"all x. (Dog(x) & Brown(x) & White(x) -> exists y. (Baseball(y) & HoldsInMouth(x, y)))",all x. (Dog(x) & Black(x) & White(x) -> DropsBaseballFromMouth(x)),n,False,False
298,A young boy wearing a red swimsuit is jumping into a blue kiddies pool,A boy wearing red shorts is jumping into a paddling pool,"all x.all y.all z. (YoungBoy(x) & RedSwimsuit(x) & BlueKiddiesPool(y) & JumpingInto(x, y) -> Pool(z) & KiddiesPool(z))","all x.all y.all z. (Boy(x) & RedShorts(x) & PaddlingPool(y) & Wearing(x, y) -> JumpingInto(x, z))",n,False,False
299,Two people are standing in the ocean and watching the sunset,Nobody is standing in the ocean and watching the sunset,exists x. exists y. (Person(x) & Person(y) & StandingInOcean(x) & StandingInOcean(y) & WatchingSunset(x) & WatchingSunset(y)),not exists x. (Person(x) & StandingInOcean(x) & WatchingSunset(x)),c,False,True
300,A race car driver is standing up and pointing his hand at the sky,A race car driver is sitting down and is motionless,all x. (RaceCarDriver(x) -> (StandingUp(x) & PointingHandAtSky(x))),all x. (RaceCarDriver(x) -> (SittingDown(x) & Motionless(x))),n,False,False
301,A race car driver is standing up and is fiercely pointing his hand at the sky,The person in the blue jacket is wearing a colorful helmet,all x. (RaceCarDriver(x) -> (StandingUp(x) & FiercelyPointsHandAtSky(x))),all x. (Person(x) & WearingBlueJacket(x) -> WearingColorfulHelmet(x)),n,False,False
302,A bicyclist is holding a bike over his head in a group of people,A cyclist is being held over the heads of a group of people with the bike,"all x.all y.all z. (Bicyclist(x) & Bike(y) & GroupOfPeople(z) -> HoldsOverHead(x, y, z))","all x.all y.all z. (Cyclist(x) & GroupOfPeople(y) & Bike(z) -> HeldOverHeads(x, y, z))",n,False,False
303,"A man is sitting on a boat in font of the sunset, near a flag",A man is standing on a boat in front of the sunset near a flag,"exists x. exists y. exists z. (Man(x) & Boat(y) & Flag(z) & SittingOn(x, y) & InFrontOfSunset(x, y) & Near(x, z))","exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & StandingOn(x, y) & Near(x, z) & Flag(x))",n,False,False
304,A man is standing on a boat in front of the sunset near a flag,A man is on a boat in front of the sunset,"exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & StandingOn(x, y) & Near(x, z) & Flag(x))","exists x. exists y. exists z. (Man(x) & Boat(y) & Sunset(z) & On(x, y) & InFrontOf(x, z))",e,False,False
305,People at a drag race are running away from the flames that are coming out of the cars,The crowd is watching two racing cars that are leaving the starting line,"all x.all y.all z. (DragRace(x) & Person(y) & Car(z) -> (RunsAwayFromFlames(y, z)))","all x.all y.all z. (Crowd(x) & RacingCar(y) & RacingCar(z) & LeavingStartingLine(y, z) -> Watching(x, y, z))",n,False,False
306,Two dogs are playing together on the grass,Two dogs are resting together in the grass,"exists x. exists y. (Dog(x) & Dog(y) & PlayingTogether(x, y) & OnGrass(x, y))","exists x. exists y. (Dog(x) & Dog(y) & RestingTogether(x, y) & InGrass(x, y))",n,False,False
307,"A dog, which is black, is running in the grass",A black dog is running in the grass,all x. (Dog(x) & Black(x) -> RunningInGrass(x)),exists x. (Dog(x) & Black(x) & RunningInGrass(x)),e,False,False
308,A black dog is running in the grass and its tongue is hanging out,A black dog is running in the grass,all x. (BlackDog(x) -> (RunningInGrass(x) & TongueHangingOut(x))),exists x. (Dog(x) & Black(x) & RunningInGrass(x)),e,False,False
309,A yellow dog is running on white snow on a very sunny day,A yellow dog is running on white snow on a sunny day,"all x.all y.all z. (YellowDog(x) & WhiteSnow(y) & VerySunnyDay(z) -> RunningOn(x, y, z))","all x.all y.all z. (YellowDog(x) & WhiteSnow(y) & SunnyDay(z) -> RunningOn(x, y, z))",e,False,False
310,A girl is wearing jeans and a pink shirt and is running,A little boy in a pink shirt is running under a tree in the desert,exists x. (Girl(x) & WearingJeans(x) & WearingPinkShirt(x) & Running(x)),"exists x. exists y. exists z. (LittleBoy(x) & PinkShirt(x) & Tree(y) & Desert(z) & RunsUnder(x, y, z))",n,False,False
311,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,The white reindeer wearing dog ears is near a brown reindeer,"all x.all y. (WhiteDog(x) & ChristmasReindeerHeadband(x) & BrownDog(y) & PlayingInGrass(x, y) -> DogWearingHeadbandAndPlaying(x, y))","all x.all y. (WhiteReindeer(x) & WearingDogEars(x) & BrownReindeer(y) -> Near(x, y))",n,False,False
312,The woman in a red costume is leaning against a brick wall and playing an instrument,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,all x. (Woman(x) & RedCostume(x) -> (LeaningAgainstBrickWall(x) & PlayingInstrument(x))),all x. (Woman(x) & RedCostume(x) -> not LeaningAgainstBrickWall(x) & not PlayingInstrument(x)),c,False,False
313,A waterfall is flowing into a shallow pool,The people are walking on the road beside a beautiful waterfall,"all x.all y. (Waterfall(x) & ShallowPool(y) -> FlowsInto(x, y))","all x.all y. (Person(x) & Road(y) & WalkingOn(x, y) & BeautifulWaterfall(y) -> WalkingByWaterfall(x, y))",n,False,False
314,A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,"exists x.exists y.exists z. (Dog(x) & WhiteSheep(y) & DustyFarm(z) & Scattering(x, y, z))","exists x. exists y. exists z. (Dog(x) & PackOfWhiteSheep(y) & DustyFarm(z) & Herding(x, y, z))",n,False,False
315,A little boy is wearing a yellow tank top and is laughing,A laughing boy is in a yellow tank and is wearing a top,exists x. (LittleBoy(x) & WearingYellowTankTop(x) & Laughing(x)),"all x. (LaughingBoy(x) -> (exists y. (YellowTank(y) & In(x, y)) & exists z. (Top(z) & Wearing(x, z))))",n,False,False
316,The person is not standing on white ice,A person is standing in a vast field of glacial ice,not exists x. (Person(x) & StandingOnWhiteIce(x)),"exists x. (Person(x) & StandingIn(x, VastFieldOfGlacialIce))",n,False,False
317,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,There is no hockey player in a yellow jersey guarding the goal,all x. (IceHockeyGoalkeeper(x) -> (WearsYellowJersey(x) & DefendsGoal(x))),not exists x. (HockeyPlayer(x) & YellowJersey(x) & GoalGuard(x)),c,False,False
318,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,A woman is parking a blue bicycle and is wearing lots of riding helmets,"exists x. (Woman(x) & exists y. (BlueHelmet(y) & Wearing(x, y)) & exists z. (Bicycle(z) & Riding(x, z) & In(x, parkingLot)))",exists x. (Woman(x) & ParkingBlueBicycle(x) & WearingRidingHelmets(x)),n,False,False
319,A young girl is standing on one leg,A young female is dancing,exists x. (YoungGirl(x) & StandingOnOneLeg(x)),exists x. (YoungFemale(x) & Dancing(x)),n,False,False
320,A young girl is standing on one leg,A young girl is dancing,exists x. (YoungGirl(x) & StandingOnOneLeg(x)),exists x. (YoungGirl(x) & Dancing(x)),n,False,False
321,A bee is clinging to a yellow flower,There is no small bee landing on a bunch of yellow flowers,"exists x. exists y. (Bee(x) & YellowFlower(y) & ClingingTo(x, y))","exists x. exists y. (Bee(x) & YellowFlowers(y) & not Small(x) & LandsOn(x, y))",n,False,False
322,There is no white dog with beige spots running through a field,A tan dog is running through the brush,not exists x. (Dog(x) & White(x) & HasBeigeSpots(x) & RunsThroughField(x)),"all x. (TanDog(x) -> exists y. (Brush(y) & RunningThrough(x, y)))",n,False,False
323,A hurdle is being leapt by a horse that has a rider on its back,A horse and its rider are leaping over a barrier,"all x.all y.all z. (Hurdle(x) & Horse(y) & Rider(z) & HasRiderOnBack(y, z) -> Leaps(y, x))","all x.all y.all z. (Horse(x) & Rider(y) & Barrier(z) -> LeapingOver(x, y, z))",e,False,False
324,Two teenage girls are wearing fancy dresses at an event,Two girls in their teens are wearing fancy dresses at an event,"exists x. exists y. (TeenageGirl(x) & TeenageGirl(y) & FancyDress(x) & FancyDress(y) & WearingAtEvent(x, y))",exists x. exists y. (Girl(x) & Girl(y) & Teen(x) & Teen(y) & WearingFancyDress(x) & WearingFancyDress(y) & AtEvent(x) & AtEvent(y)),e,False,False
325,A classroom full of students is looking attentively in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,"all x. all y. all z. (Classroom(x) & Students(y) & BambooStructure(z) & FullOf(y, x) & Inside(y, z) -> AttentivelyLookingInDirection(y, z))",all x. (GroupOfStudentsInUniforms(x) -> ListeningAttentivelyAtFrontOfClass(x)),n,False,False
326,"A child, who is small, is outdoors climbing steps outdoors in an area full of grass",A small child is outdoors climbing steps in a grassy area,all x. (Child(x) & Small(x) -> (ClimbsStepsOutdoors(x) & InAreaFullOfGrass(x))),exists x. (Child(x) & Small(x) & Outdoors(x) & ClimbingSteps(x) & GrassyArea(x)),e,False,False
327,A little child in a pink sweater is climbing a concrete staircase,A small child is outdoors climbing steps in a grassy area,"all x.all y.all z. (LittleChild(x) & PinkSweater(x) & ConcreteStaircase(y) & Climbs(x, y) -> SweaterColor(z) & Color(z, pink))",exists x. (Child(x) & Small(x) & Outdoors(x) & ClimbingSteps(x) & GrassyArea(x)),n,False,False
328,A kid in orange is playing outside with a snowball,A snow ball is being made by a child,"all x.all y.all z. (Kid(x) & Orange(y) & Snowball(z) -> PlayingOutsideWith(x, y, z))","exists x. exists y. (SnowBall(x) & Child(y) & Making(y, x))",n,False,False
329,The people are not sitting on a bench in front of a restaurant,Three people are sitting on a bench under some palm trees,not exists x. (Person(x) & SittingOnBench(x) & InFrontOfRestaurant(x)),exists x.exists y.exists z. (Person(x) & Person(y) & Person(z) & SittingOnBench(x) & SittingOnBench(y) & SittingOnBench(z) & PalmTrees(x) & PalmTrees(y) & PalmTrees(z)),n,False,False
330,A large brown dog and a small grey dog are standing on a rocky surface,A big brown dog and a small grey dog are standing on a rocky surface,"exists x. exists y. (Dog(x) & Dog(y) & Large(x) & Brown(x) & Small(y) & Grey(y) & StandingOn(x, y, RockySurface))","exists x. exists y. (BigBrownDog(x) & SmallGreyDog(y) & StandingOnRockySurface(x, y))",e,False,False
331,Three boys are resting on rocks along a river,Three boys are walking on rocks along a river,exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & RestingOnRocks(x) & RestingOnRocks(y) & RestingOnRocks(z) & River(x) & River(y) & River(z)),exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & WalkingOnRocks(x) & WalkingOnRocks(y) & WalkingOnRocks(z) & River(x) & River(y) & River(z)),n,False,False
332,There is no man dressed in black wearing an elaborate black mask,A man dressed in black is wearing an elaborate black mask,not exists x. (Man(x) & DressedInBlack(x) & WearingElaborateBlackMask(x)),all x. (Man(x) & DressedInBlack(x) -> WearingElaborateBlackMask(x)),c,False,False
333,"Two children, who are small, are playing with a toy car in the street",A father is pushing his daughter on a go-kart and another girl is watching,"exists x. exists y. (Child(x) & Child(y) & Small(x) & Small(y) & PlayingWith(x, y, ToyCar) & InStreet(x, y))","all x.all y.all z. (Father(x) & Daughter(y) & GoKart(z) -> Pushing(x, y, z)) & (Girl(w) & Watching(w, z))",n,False,False
334,A golden dog is running through a field of tall grass,There is no brown dog running through tall green grass,"all x. all y. (GoldenDog(x) & Field(y) & TallGrass(y) -> RunsThrough(x, y))","not exists x. (Dog(x) & Brown(x) & exists y. (Grass(y) & Tall(y) & Green(y) & RunningThrough(x, y)))",n,False,False
335,The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,all x. (Woman(x) & WearsBlueAndWhiteUniform(x) & WearsWhiteAndBlueHat(x) -> (KeepingMouthOpen(x) & NearOthersInSameFashion(x))),"exists x. (Woman(x) & exists y. (BlueShirt(y) & Wearing(x, y)) & exists z. (WhiteVest(z) & Wearing(x, z)) & exists w. (WhiteCap(w) & Wearing(x, w)) & Talking(x) & Marching(x))",n,False,False
336,The snowboarder is doing a flip over a mound of snow,Somebody is jumping in the air on a board,"all x.all y. (Snowboarder(x) & MoundOfSnow(y) -> DoesFlipOver(x, y))",exists x. (Jumping(x) & OnBoard(x)),e,False,False
337,A blonde boy in green is sitting on a swing,There is no little girl with blond hair smiling and sitting on a swing,"all x.all y.all z. (Blonde(x) & Boy(x) & Green(y) & Swing(z) -> SittingOn(x, y, z))",not exists x. (LittleGirl(x) & BlondHair(x) & Smiling(x) & SittingOnSwing(x)),n,False,False
338,A white man is staging a hat and a playing guitar,A man in a white hat is playing guitar on stage,exists x. (WhiteMan(x) & StagingHat(x) & StagingGuitar(x)),all x. (Man(x) & WearsWhiteHat(x) -> PlaysGuitarOnStage(x)),n,False,False
339,Rugby players are not tackling each other,A soccer player is being tackled by his opponent,"all x. all y. (RugbyPlayer(x) & RugbyPlayer(y) -> not Tackling(x, y))","all x.all y. (SoccerPlayer(x) & Opponent(y) -> BeingTackled(x, y))",n,False,False
340,A white dog is standing on fallen leaves,A white dog is lying on fallen leaves,"all x. (WhiteDog(x) -> exists y. (FallenLeaves(y) & StandingOn(x, y)))",exists x. (WhiteDog(x) & LyingOnFallenLeaves(x)),n,False,False
341,The motocross rider is standing naked,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",all x. (MotocrossRider(x) -> StandingNaked(x)),all x. (Biker(x) & BlueJacket(x) & BlackPants(x) & WhiteHelmet(x) -> (DrivingOnDirt(x) & PeopleWatching(x))),n,False,False
342,The rider on the blue and black motocross bike is not wearing the pants,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",all x. (Rider(x) & OnBlueAndBlackMotocrossBike(x) -> not WearingPants(x)),all x. (Biker(x) & BlueJacket(x) & BlackPants(x) & WhiteHelmet(x) -> (DrivingOnDirt(x) & PeopleWatching(x))),n,False,False
343,A trick is being performed by a rollerblader on a ramp,A rollerblader is performing a trick on a ramp,"all x.all y.all z. (Trick(x) & Rollerblader(y) & Ramp(z) -> PerformedOn(x, y, z))","all x.all y.all z. (Rollerblader(x) & Trick(y) & Ramp(z) -> PerformsOn(x, y, z))",e,False,False
344,A group of football players is standing still in the field,The crowd is watching a football game,all x. (GroupOfFootballPlayers(x) -> StandingStillInField(x)),"all x. all y. (Crowd(x) & FootballGame(y) -> Watching(x, y))",n,False,False
345,The group of people is standing together and looking at the camera,A group of people is standing together and looking at the camera,all x. (Group(x) -> (StandingTogether(x) & LookingAtCamera(x))),all x. (GroupOfPeople(x) -> (StandingTogether(x) & LookingAtCamera(x))),e,False,False
346,A brown dog is running across the yard with a toy in its mouth,There is no brown dog running across the yard with a toy in its mouth,"all x.all y.all z. (BrownDog(x) & Yard(y) & Toy(z) & RunningAcross(x, y) & HasInMouth(x, z) -> DogWithToy(x, y, z))",not exists x. (Dog(x) & Brown(x) & Running(x) & AcrossYard(x) & HasToy(x)),c,False,False
347,There is no young boy jumping in the air with his knees bent and arms spread,A person with a green shirt is jumping high over the grass,not exists x. (YoungBoy(x) & JumpingInAir(x) & KneesBent(x) & ArmsSpread(x)),all x. (Person(x) & WearsGreenShirt(x) -> JumpsHighOverGrass(x)),n,False,False
348,A cigarette is being smoked by the man in the straw hat,A man is wearing a straw hat and smoking a cigarette,"exists x.exists y. (Cigarette(x) & Man(y) & Smoking(y, x) & WearingStrawHat(y))",exists x. (Man(x) & WearingStrawHat(x) & SmokingCigarette(x)),e,False,False
349,A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street,A man is wearing a blue checkered shirt and riding a unicycle in the street,exists x. (Man(x) & WearingBlueShirt(x) & HasLongSleeves(x) & WearingJeans(x) & RidingUnicycle(x) & DownStreet(x)),exists x. (Man(x) & WearingBlueCheckeredShirt(x) & RidingUnicycleInStreet(x)),n,False,False
350,A tower is being looked at by a blonde lady,A woman is looking at the view of a city,"exists x.exists y. (Tower(x) & BlondeLady(y) & LookingAt(y, x))","exists x. exists y. (Woman(x) & City(y) & View(x, y))",n,False,False
351,A man is standing on the top of the rocks with clouds behind them,Somebody is standing on a mountain top,exists x. (Man(x) & StandingOnRocks(x) & CloudsBehind(x)),exists x. (StandingOnMountainTop(x)),n,False,False
352,An American footballer is wearing the red and white strip,A football player is wearing black armbands,all x. (AmericanFootballer(x) -> WearsRedAndWhiteStrip(x)),all x. (FootballPlayer(x) -> WearingBlackArmband(x)),n,False,False
353,A small child is showing excitement on a swing set at the park,"The girl, who is little, is swinging and the woman is standing behind",exists x. (SmallChild(x) & Excitement(x) & OnSwingSet(x) & AtPark(x)),all x.all y. (Girl(x) & Little(x) & Woman(y) -> (Swinging(x) & StandingBehind(y))),n,False,False
354,A surfer is riding the wave,A man is falling off a surfboard in the water,"all x.all y. (Surfer(x) & Wave(y) -> Riding(x, y))",exists x. (Man(x) & FallingOffSurfboard(x)),n,False,False
355,The group of people is sitting in a dim room,The group of people is sitting in a room which is dim,all x. (Group(x) -> SittingInDimRoom(x)),"all x. all y. (Group(x) & Person(y) & SittingIn(y, x) -> DimRoom(x))",e,False,False
356,A man and two women in a dark room are sitting at a table with candles,The group of people is sitting in a dim room,"exists x. exists y. exists z. (Man(x) & Woman(y) & Woman(z) & DarkRoom(x) & DarkRoom(y) & DarkRoom(z) & Table(x) & Table(y) & Table(z) & SittingAt(x, y, z))",all x. (Group(x) -> SittingInDimRoom(x)),e,False,False
357,A man and two women in a darkened room are sitting at a table with candles,The group of dim people is sitting in a room,"exists x. exists y. exists z. (Man(x) & Woman(y) & Woman(z) & DarkenedRoom(x) & DarkenedRoom(y) & DarkenedRoom(z) & SittingAtTableWithCandles(x, y, z))",all x. (DimPerson(x) -> SittingInRoom(x)),n,False,False
358,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,"all x.all y.all z. (Man(x) & WhiteShirt(x) & Sunglasses(x) & Man(y) & BlackShirt(y) & Sunglasses(y) & Table(z) & FourBottlesOfBeer(z) -> SittingAtTable(x, y, z))","all x.all y.all z. (Man(x) & WhiteShirt(x) & Sunglasses(x) & Man(y) & BlackShirt(y) & Sunglasses(y) & Table(z) & FourBeerBottles(z) -> SittingAtTable(x, y, z))",e,False,False
359,The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt,A person is wearing a red jacket and holding a beer,"not (Woman(x) & RedJacket(y) & Wearing(x, y) & Man(z) & WhiteTShirt(w) & HoldingGlassInFrontOf(z, w))",exists x. (Person(x) & WearingRedJacket(x) & HoldingBeer(x)),n,False,False
360,A child is watching someone playing outdoors and is spouting water over the rest of his family ,A boy is holding a hose next to a man and another boy is watching,"all x.all y.all z. (Child(x) & Person(y) & Outdoors(z) & Watching(x, y, z) -> SpoutingWater(x))","all x. all y. all z. (Boy(x) & Hose(y) & Man(z) -> (Holds(x, y) & NextTo(x, z))) & (Boy(w) & Watches(w, x))",n,False,False
361,There is no football player in a purple jersey running with the ball for a touchdown,A football player is running past an official carrying a football,not exists x. (FootballPlayer(x) & PurpleJersey(x) & RunningWithBall(x) & Touchdown(x)),"all x.all y.all z. (FootballPlayer(x) & Official(y) & Football(z) -> RunningPast(x, y, z))",n,False,False
362,A football player is carrying an official past a rolling football,A football player in a purple jersey is running with the ball for a touchdown,"all x.all y.all z. (FootballPlayer(x) & Official(y) & RollingFootball(z) -> Carrying(x, y, z))","all x.all y.all z. (FootballPlayer(x) & PurpleJersey(y) & Touchdown(z) -> RunsWithBallFor(x, y, z))",n,False,False
